model,section,tower,n,ned_min,ned_mean,ned_max,layer_error_mean,edge_match_mean,radius_error_mean_m,source_files
DeepSeek-V3.2,A,昊天塔,1,0.5374,0.5374,0.5374,6.0,1.0,4.2,data/cot_ablation/metrics/by_section/section_A_DeepSeek_V3_2_01_metrics.xlsx
DeepSeek-V3.2,A,朝阳南塔,1,0.7909,0.7909,0.7909,4.0,0.0,16.0,data/cot_ablation/metrics/by_section/section_A_DeepSeek_V3_2_01_metrics.xlsx
DeepSeek-V3.2,A,白塔峪塔,1,0.5248,0.5248,0.5248,8.0,1.0,10.67,data/cot_ablation/metrics/by_section/section_A_DeepSeek_V3_2_01_metrics.xlsx
DeepSeek-V3.2,B,昊天塔,1,0.7651,0.7651,0.7651,0.0,1.0,9.2,data/cot_ablation/metrics/by_section/section_B_DeepSeek_V3_2_02_metrics.xlsx
DeepSeek-V3.2,B,朝阳南塔,1,0.2299,0.2299,0.2299,0.0,0.0,7.5,data/cot_ablation/metrics/by_section/section_B_DeepSeek_V3_2_02_metrics.xlsx
DeepSeek-V3.2,B,白塔峪塔,1,0.2539,0.2539,0.2539,0.0,1.0,7.17,data/cot_ablation/metrics/by_section/section_B_DeepSeek_V3_2_02_metrics.xlsx
DeepSeek-V3.2,C,昊天塔,9,0.1772,0.2521,0.5979,0.0,1.0,5.8429,data/cot_ablation/metrics/by_section/section_C_DeepSeek_V3_2_02_metrics.xlsx
DeepSeek-V3.2,C,朝阳南塔,9,0.1724,0.2184,0.3173,0.0,0.1111,7.1111,data/cot_ablation/metrics/by_section/section_C_DeepSeek_V3_2_02_metrics.xlsx
DeepSeek-V3.2,C,白塔峪塔,9,0.1969,0.2642,0.4053,0.0,1.0,7.17,data/cot_ablation/metrics/by_section/section_C_DeepSeek_V3_2_02_metrics.xlsx
GLM-5.1,A,昊天塔,1,0.5374,0.5374,0.5374,6.0,1.0,4.2,data/cot_ablation/metrics/by_section/section_A_GLM_5_1_01_metrics.xlsx
GLM-5.1,A,朝阳南塔,1,0.3276,0.3276,0.3276,1.0,0.0,11.0,data/cot_ablation/metrics/by_section/section_A_GLM_5_1_01_metrics.xlsx
GLM-5.1,A,白塔峪塔,1,0.3986,0.3986,0.3986,1.0,1.0,7.67,data/cot_ablation/metrics/by_section/section_A_GLM_5_1_01_metrics.xlsx
GLM-5.1,B,昊天塔,1,0.2954,0.2954,0.2954,0.0,1.0,9.2,data/cot_ablation/metrics/by_section/section_B_GLM_5_1_01_metrics.xlsx
GLM-5.1,B,朝阳南塔,1,0.2414,0.2414,0.2414,0.0,0.0,7.5,data/cot_ablation/metrics/by_section/section_B_GLM_5_1_01_metrics.xlsx
GLM-5.1,B,白塔峪塔,1,0.2642,0.2642,0.2642,0.0,1.0,7.67,data/cot_ablation/metrics/by_section/section_B_GLM_5_1_01_metrics.xlsx
GLM-5.1,C,昊天塔,9,0.1861,0.328,0.669,0.0,1.0,6.2,data/cot_ablation/metrics/by_section/section_C_GLM_5_1_01_metrics.xlsx
GLM-5.1,C,朝阳南塔,9,0.1667,0.2008,0.2967,0.0,0.2222,8.0889,data/cot_ablation/metrics/by_section/section_C_GLM_5_1_01_metrics.xlsx
GLM-5.1,C,白塔峪塔,9,0.1813,0.2082,0.2464,0.0,1.0,9.1811,data/cot_ablation/metrics/by_section/section_C_GLM_5_1_01_metrics.xlsx
Qwen3.5-397B-A17B,A,昊天塔,1,0.5018,0.5018,0.5018,5.0,1.0,2.2,data/cot_ablation/metrics/by_section/section_A_Qwen3_5_397B_A17B_02_metrics.xlsx
Qwen3.5-397B-A17B,A,朝阳南塔,1,0.5345,0.5345,0.5345,7.0,0.0,10.5,data/cot_ablation/metrics/by_section/section_A_Qwen3_5_397B_A17B_02_metrics.xlsx
Qwen3.5-397B-A17B,A,白塔峪塔,1,0.5018,0.5018,0.5018,8.0,1.0,10.67,data/cot_ablation/metrics/by_section/section_A_Qwen3_5_397B_A17B_02_metrics.xlsx
Qwen3.5-397B-A17B,B,昊天塔,1,0.2954,0.2954,0.2954,0.0,1.0,9.2,data/cot_ablation/metrics/by_section/section_B_Qwen3_5_397B_A17B_01_metrics.xlsx
Qwen3.5-397B-A17B,B,朝阳南塔,1,0.2356,0.2356,0.2356,0.0,0.0,7.5,data/cot_ablation/metrics/by_section/section_B_Qwen3_5_397B_A17B_01_metrics.xlsx
Qwen3.5-397B-A17B,B,白塔峪塔,1,0.2642,0.2642,0.2642,0.0,1.0,7.67,data/cot_ablation/metrics/by_section/section_B_Qwen3_5_397B_A17B_01_metrics.xlsx
Qwen3.5-397B-A17B,C,昊天塔,9,0.1875,0.3534,0.7117,0.0,1.0,5.7556,data/cot_ablation/metrics/by_section/section_C_Qwen3_5_397B_A17B_01_metrics.xlsx
Qwen3.5-397B-A17B,C,朝阳南塔,9,0.1724,0.1928,0.2067,0.0,0.3333,7.0,data/cot_ablation/metrics/by_section/section_C_Qwen3_5_397B_A17B_01_metrics.xlsx
Qwen3.5-397B-A17B,C,白塔峪塔,9,0.1762,0.2322,0.5302,0.0,1.0,6.6922,data/cot_ablation/metrics/by_section/section_C_Qwen3_5_397B_A17B_01_metrics.xlsx
