source_layer,public_path,release_status,used_by,reviewer_use,boundary_note
Full LP-KG normalized export,data/kg/full_lpkg_neo4j_export/nodes.csv; data/kg/full_lpkg_neo4j_export/edges.csv,public_release,KG scale checks and graph-structure review,Confirms the reported LP-KG scale and relation export,This is the normalized graph export rather than an unprocessed historical corpus.
KG retrieval benchmark inputs,data/kg/inputs/kg_testset.json; data/kg/inputs/bm25_corpus_raw.json,public_release,KG retrieval metric reproduction,Provides deterministic benchmark inputs for retrieval validation,The BM25 file is a benchmark corpus used for retrieval comparison.
Recorded KG retrieval outputs,data/kg/raw_results/kg_raw_results.json; data/kg/raw_results/bm25_raw_results.json,public_release,KG retrieval metric reproduction,Allows deterministic rerun without a database server or live retrieval service,These are benchmark outputs for reproducibility.
Public project-KG execution tables,data/kg/project_kg_execution_tables/pagodas.csv; data/kg/project_kg_execution_tables/source_summary.json,public_release,CBR rerun and query-adapter parity,Provides the executable 68-pagoda table used by the public scripts,This is a tabular execution view and must not be cited as the full LP-KG.
CBR attribute corpus,data/cbr/pagoda_attribute_corpus.csv; data/cbr/inputs/*.json,public_release,CBR reproduction,Provides pagoda attributes and retrieval parameters,The CBR weights and inputs are the public reproducibility layer.
LPSL encodings and measurement workbooks,data/lpsl/lpsl_encodings.txt; data/lpsl/measurement_source/*.xlsx,public_release,LPSL validation and measurement-support review,Provides structural encodings and tabular measurement support,Image binaries are not redistributed in the GitHub layer.
CoT source texts and input instructions,data/cot_ablation/sources/*/source_text.txt; data/cot_ablation/inputs/*,public_release,CoT ablation review,Provides the source texts and instruction sets used for recorded outputs,These are public reproducibility inputs rather than live model calls.
CoT raw outputs,data/cot_ablation/raw_outputs/**/*.txt,public_release,CoT ablation review,Provides raw text outputs used to support the summary tables,Summary workbooks are stored separately under metrics.
CoT metric workbooks,data/cot_ablation/metrics/*.xlsx; data/cot_ablation/metrics/by_section/*.xlsx,public_release,CoT scoring review,Provides workbook-level metric summaries and section-level scoring support,These workbooks are scoring tables and not raw model outputs.
Restricted source carriers,Published scans; page images; tower-named elevation images,not_redistributed,Release-boundary documentation,Explains why some source carriers are cited but absent from GitHub,Redistribution requires separate rights confirmation; structured public derivatives remain in this package.
